"question_date","num_questions_with_en_response"
"2019-11-17","2507"
"2019-11-18","2535"
"2019-11-19","3590"
"2019-11-20","4454"
"2019-11-21","6675"
"2019-11-22","17135"
"2019-11-23","7992"
"2019-11-24","9334"
"2019-11-25","7183"
"2019-11-26","6593"
"2019-11-27","4936"
"2019-11-28","5102"
"2019-11-29","4366"
"2019-11-30","3928"
"2019-12-01","3380"
"2019-12-02","3545"
"2019-12-03","4641"
"2019-12-04","12914"
"2019-12-05","16114"
"2019-12-06","9866"
"2019-12-07","7013"
"2019-12-08","5413"
"2019-12-09","6395"
"2019-12-10","6422"
"2019-12-11","5516"
"2019-12-12","5194"
"2019-12-13","5286"
"2019-12-14","5330"
"2019-12-15","5106"
"2019-12-16","4477"
"2019-12-17","5455"
"2019-12-18","5132"
"2019-12-19","6672"
"2019-12-20","5215"
"2019-12-21","4045"
"2019-12-22","3778"
"2019-12-23","3835"
"2019-12-24","3256"
"2019-12-25","2511"
"2019-12-26","3340"
"2019-12-27","3735"
"2019-12-28","3467"
"2019-12-29","4524"
"2019-12-30","3670"
"2019-12-31","3094"
"2020-01-01","2398"
"2020-01-02","4346"
"2020-01-03","3973"
"2020-01-04","3483"
"2020-01-05","4027"
"2020-01-06","2677"
"2020-01-07","2686"
"2020-01-08","2914"
"2020-01-09","3942"
"2020-01-10","4270"
"2020-01-11","3619"
"2020-01-12","4143"
"2020-01-13","3095"
"2020-01-14","3108"
"2020-01-15","3555"
"2020-01-16","4972"
"2020-01-17","3754"
"2020-01-18","2977"
"2020-01-19","3170"
"2020-01-20","2991"
"2020-01-21","3174"
"2020-01-22","3633"
"2020-01-23","3822"
"2020-01-24","3150"
"2020-01-25","3199"
"2020-01-26","2606"
"2020-01-27","3278"
"2020-01-28","4123"
"2020-01-29","3522"
"2020-01-30","4585"
"2020-01-31","4061"
"2020-02-01","2871"
"2020-02-02","2856"
"2020-02-03","2390"
"2020-02-04","3909"
"2020-02-05","2532"
"2020-02-06","3384"
"2020-02-07","2889"
"2020-02-08","2373"
"2020-02-09","2372"
"2020-02-10","4093"
"2020-02-11","3983"
"2020-02-12","3625"
"2020-02-13","4122"
"2020-02-14","3095"
"2020-02-15","2968"
"2020-02-16","3846"
"2020-02-17","3471"
"2020-02-18","5107"
"2020-02-19","4291"
"2020-02-20","3849"
"2020-02-21","5079"
"2020-02-22","7318"
"2020-02-23","7735"
"2020-02-24","9375"
"2020-02-25","9830"
"2020-02-26","10565"
"2020-02-27","8267"
"2020-02-28","9062"
"2020-02-29","8175"
"2020-03-01","8768"
"2020-03-02","11793"
"2020-03-03","10335"
"2020-03-04","8527"
"2020-03-05","7236"
"2020-03-06","6087"
"2020-03-07","5745"
"2020-03-08","5710"
"2020-03-09","5857"
"2020-03-10","7332"
"2020-03-11","6658"
"2020-03-12","6377"
"2020-03-13","5812"
